attack_id,attack_name,model,f1,n_samples
0,Normal,LSTM-AE,0.0,2182
1,SourceSpike,LSTM-AE,0.5143,26
2,CompRamp,LSTM-AE,1.0,45
3,ValveForce,LSTM-AE,0.0,15
5,PressureSpoof,LSTM-AE,0.4286,11
6,FlowSpoof,LSTM-AE,1.0,6
9,FDI_Stealthy,LSTM-AE,0.5,18
0,Normal,GNN,0.0,2182
1,SourceSpike,GNN,0.5143,26
2,CompRamp,GNN,1.0,45
3,ValveForce,GNN,0.0,15
5,PressureSpoof,GNN,0.1667,11
6,FlowSpoof,GNN,1.0,6
9,FDI_Stealthy,GNN,0.4348,18
0,Normal,Hybrid-IDS,0.0,2182
1,SourceSpike,Hybrid-IDS,0.5143,26
2,CompRamp,Hybrid-IDS,1.0,45
3,ValveForce,Hybrid-IDS,0.0,15
5,PressureSpoof,Hybrid-IDS,0.5333,11
6,FlowSpoof,Hybrid-IDS,1.0,6
9,FDI_Stealthy,Hybrid-IDS,0.5,18
